city,local,parameter,value,latitude,longitude
city,local,parameter,value,latitude,longitude
Delhi,"2015-07-02T12:10:00+05:30",o3,196.8,28.6508,77.3152
Delhi,"2015-07-02T12:10:00+05:30",no2,113.6,28.6508,77.3152
Delhi,"2015-07-02T12:10:00+05:30",so2,11.5,28.6508,77.3152
Delhi,"2015-07-02T12:10:00+05:30",pm25,107,28.6508,77.3152
Delhi,"2015-07-02T12:10:00+05:30",co,1000,28.6508,77.3152
Delhi,"2015-07-02T12:40:00+05:30",pm10,151,28.6341,77.2005
Delhi,"2015-07-02T12:40:00+05:30",pm10,372,28.6508,77.3152
Delhi,"2015-07-02T12:40:00+05:30",no2,36.6,28.6683,77.1167
Delhi,"2015-07-02T12:40:00+05:30",o3,43.3,28.5648,77.1744
Delhi,"2015-07-02T12:40:00+05:30",o3,78.8,28.6683,77.1167
Delhi,"2015-07-02T12:40:00+05:30",co,1300,28.6508,77.3152
Delhi,"2015-07-02T12:40:00+05:30",no2,81.7,28.6341,77.2005
Delhi,"2015-07-02T12:40:00+05:30",o3,114.9,28.6508,77.3152
Delhi,"2015-07-02T12:40:00+05:30",co,800,28.6341,77.2005
Delhi,"2015-07-02T12:40:00+05:30",no2,42.8,28.5648,77.1744
Delhi,"2015-07-02T12:40:00+05:30",pm25,62,28.6683,77.1167
Delhi,"2015-07-02T12:40:00+05:30",pm25,92,28.5648,77.1744
Delhi,"2015-07-02T12:40:00+05:30",pm10,157,28.6683,77.1167
Delhi,"2015-07-02T12:40:00+05:30",so2,18.8,28.6508,77.3152
Delhi,"2015-07-02T12:40:00+05:30",pm25,79,28.6341,77.2005
Delhi,"2015-07-02T12:40:00+05:30",pm25,107,28.6508,77.3152
Delhi,"2015-07-02T12:40:00+05:30",so2,1,28.6683,77.1167
Delhi,"2015-07-02T12:40:00+05:30",no2,109.1,28.6508,77.3152
Delhi,"2015-07-02T12:40:00+05:30",co,1200,28.6683,77.1167
Delhi,"2015-07-02T12:40:00+05:30",so2,7.7,28.5648,77.1744
Delhi,"2015-07-02T13:00:00+05:30",so2,2.4,28.6683,77.1167
Delhi,"2015-07-02T13:00:00+05:30",pm10,151,28.6341,77.2005
Delhi,"2015-07-02T13:00:00+05:30",pm25,69,28.5648,77.1744
Delhi,"2015-07-02T13:00:00+05:30",co,1400,28.6683,77.1167
Delhi,"2015-07-02T13:00:00+05:30",no2,23.8,28.6341,77.2005
Delhi,"2015-07-02T13:00:00+05:30",no2,47.6,28.6683,77.1167
Delhi,"2015-07-02T13:00:00+05:30",o3,89.6,28.6683,77.1167
Delhi,"2015-07-02T13:00:00+05:30",so2,6.3,28.5648,77.1744
Delhi,"2015-07-02T13:00:00+05:30",pm25,91,28.6341,77.2005
Delhi,"2015-07-02T13:00:00+05:30",pm10,101,28.5648,77.1744
Delhi,"2015-07-02T13:00:00+05:30",pm10,168,28.6683,77.1167
Delhi,"2015-07-02T13:00:00+05:30",co,900,28.6341,77.2005
Delhi,"2015-07-02T13:00:00+05:30",o3,54.4,28.5648,77.1744
Delhi,"2015-07-02T13:00:00+05:30",pm25,18,28.6683,77.1167
Delhi,"2015-07-02T13:00:00+05:30",no2,41.1,28.5648,77.1744
Delhi,"2015-07-02T13:10:00+05:30",pm25,86,28.6508,77.3152
Delhi,"2015-07-02T13:10:00+05:30",co,1300,28.6508,77.3152
Delhi,"2015-07-02T13:10:00+05:30",o3,94.4,28.6508,77.3152
Delhi,"2015-07-02T13:10:00+05:30",no2,85.9,28.6508,77.3152
Delhi,"2015-07-02T13:10:00+05:30",so2,17.9,28.6508,77.3152
Delhi,"2015-07-02T13:40:00+05:30",so2,0.9,28.6683,77.1167
Delhi,"2015-07-02T13:40:00+05:30",so2,4.3,28.5648,77.1744
Delhi,"2015-07-02T13:40:00+05:30",co,1500,28.6683,77.1167
Delhi,"2015-07-02T13:40:00+05:30",pm10,101,28.5648,77.1744
Delhi,"2015-07-02T13:40:00+05:30",no2,40.5,28.6683,77.1167
Delhi,"2015-07-02T13:40:00+05:30",pm25,69,28.5648,77.1744
Delhi,"2015-07-02T13:40:00+05:30",o3,69.4,28.5648,77.1744
Delhi,"2015-07-02T13:40:00+05:30",o3,95.7,28.6683,77.1167
Delhi,"2015-07-02T13:40:00+05:30",pm25,18,28.6683,77.1167
Delhi,"2015-07-02T13:40:00+05:30",no2,33.2,28.5648,77.1744
Delhi,"2015-07-02T13:40:00+05:30",pm10,168,28.6683,77.1167
Delhi,"2015-07-02T13:40:00+05:30",co,0,28.5648,77.1744
Delhi,"2015-07-02T13:50:00+05:30",co,600,28.6341,77.2005
Delhi,"2015-07-02T13:50:00+05:30",pm25,91,28.6341,77.2005
Delhi,"2015-07-02T13:50:00+05:30",no2,102.8,28.6508,77.3152
Delhi,"2015-07-02T13:50:00+05:30",so2,15.2,28.6508,77.3152
Delhi,"2015-07-02T13:50:00+05:30",no2,27.5,28.6341,77.2005
Delhi,"2015-07-02T13:50:00+05:30",co,1200,28.6508,77.3152
Delhi,"2015-07-02T13:50:00+05:30",o3,67.8,28.6508,77.3152
Delhi,"2015-07-02T13:50:00+05:30",pm25,86,28.6508,77.3152
Delhi,"2015-07-02T14:00:00+05:30",pm25,89,28.6508,77.3152
Delhi,"2015-07-02T14:00:00+05:30",co,1200,28.6683,77.1167
Delhi,"2015-07-02T14:00:00+05:30",co,600,28.6341,77.2005
Delhi,"2015-07-02T14:00:00+05:30",no2,33.6,28.5648,77.1744
Delhi,"2015-07-02T14:00:00+05:30",pm10,311,28.6508,77.3152
Delhi,"2015-07-02T14:00:00+05:30",pm10,167,28.5648,77.1744
Delhi,"2015-07-02T14:00:00+05:30",pm25,156,28.6683,77.1167
Delhi,"2015-07-02T14:00:00+05:30",pm10,250,28.6341,77.2005
Delhi,"2015-07-02T14:00:00+05:30",pm10,190,28.6683,77.1167
Delhi,"2015-07-02T14:00:00+05:30",co,1900,28.5648,77.1744
Delhi,"2015-07-02T14:00:00+05:30",o3,118.4,28.6683,77.1167
Delhi,"2015-07-02T14:00:00+05:30",pm25,83,28.6341,77.2005
Delhi,"2015-07-02T14:00:00+05:30",o3,81.4,28.5648,77.1744
